Wavelengths [nm]	Spectral Irradiance [W/cm^2/nm]
300.0	0.2007623379511218
301.0	0.011845460303365972
302.0	0.005197044331356596
303.0	0.00525546085010088
304.0	0.005391999795776271
305.0	0.005294388960307994
306.0	0.005298795388801651
307.0	0.005202792141933744
308.0	0.0053994837796755984
309.0	0.005556745925303931
310.0	0.005407533091310937
311.0	0.005441675670532547
312.0	0.005331011651828213
313.0	0.005355977645326524
314.0	0.005309378138079687
315.0	0.005248282789433137
316.0	0.005239646440461428
317.0	0.005317000125453485
318.0	0.00544254635725355
319.0	0.005636070933593292
320.0	0.0062433509201107375
321.0	0.007427849202180582
322.0	0.009300915490865888
323.0	0.012691199686976877
324.0	0.016767332635344023
325.0	0.02203262982105158
326.0	0.02599759631306144
327.0	0.030755595276893966
328.0	0.0335204788607416
329.0	0.03438009066219062
330.0	0.0333931793770156
331.0	0.0323735174020221
332.0	0.031391688328910955
333.0	0.03139435464837885
334.0	0.03418093024004841
335.0	0.03995740499855353
336.0	0.04847896861066101
337.0	0.05728466536586496
338.0	0.06653176649919845
339.0	0.07372595695311804
340.0	0.07736699419490609
341.0	0.07844404047988976
342.0	0.07671211451991537
343.0	0.07235093518880097
344.0	0.06858333913505713
345.0	0.06653950079856724
346.0	0.06748597149296998
347.0	0.07264260368424927
348.0	0.07948367961289404
349.0	0.08733929305998925
350.0	0.09403713422759492
351.0	0.09998738891897752
352.0	0.102180685791071
353.0	0.10029041745640797
354.0	0.0955163934320434
355.0	0.08807358931430978
356.0	0.08150944411320955
357.0	0.07387888433595326
358.0	0.06886157224913342
359.0	0.06753018142463788
360.0	0.0694738301462905
361.0	0.0783520588530844
362.0	0.09321868118802311
363.0	0.11481084491759626
364.0	0.14400476268570456
365.0	0.17330147054523234
366.0	0.20523025435919232
367.0	0.23390333579123374
368.0	0.2526321108405858
369.0	0.2602498401474155
370.0	0.2552932784485778
371.0	0.2385758889216349
372.0	0.21484871906954778
373.0	0.18617674022815406
374.0	0.15425812012680776
375.0	0.13254547461743185
376.0	0.11903929477058767
377.0	0.11076264260763333
378.0	0.10907528809377767
